Time,Boost pressure bar,Boost pressure setpoint bar,Control deviation of the boost pressure regulator - bank-specific bank 1 bar
0.0000,0.00,0.00,0.00
0.1650,0.00,0.00,8.18
0.3240,0.01,0.00,8.18
0.5010,0.01,0.00,8.18
0.7000,0.01,0.00,8.18
0.8960,0.01,0.00,8.18
1.0640,0.01,0.00,8.18
1.2440,0.01,0.00,8.18
1.4380,0.01,0.00,8.18
1.6240,0.01,0.00,8.18
1.8120,0.01,0.00,8.18
2.0000,0.01,0.00,8.18
2.2390,0.01,0.00,8.18
2.4590,0.01,0.00,8.18
2.6570,0.01,0.00,8.18
2.8750,0.01,0.00,8.18
3.0760,0.01,0.00,8.18
3.3000,0.01,0.00,8.18
3.5390,0.01,0.00,8.18
3.7640,0.01,0.00,8.19
3.9620,0.01,0.00,8.19
4.1890,0.01,0.00,8.19
4.4150,0.01,0.00,8.19
4.6020,0.00,0.00,8.19
4.7930,0.00,0.00,8.19
5.0180,0.00,0.00,8.19
5.2340,0.00,0.00,8.19
5.4600,0.00,0.00,8.19
5.6790,0.00,0.00,8.19
5.8690,0.00,0.00,8.19
6.0770,0.00,0.00,8.19
6.2750,0.00,0.00,8.19
6.4960,0.00,0.00,8.19
6.7230,0.00,0.00,8.19
6.9440,0.00,0.00,8.19
7.1550,0.00,0.00,8.19
7.3690,0.00,0.00,8.19
7.5830,0.00,0.00,8.19
7.7720,0.00,0.00,8.19
7.9810,0.00,0.00,8.19
8.1960,0.00,0.00,8.19
8.3830,0.00,0.00,8.19
8.5910,0.00,0.00,8.19
8.7820,0.00,0.00,8.19
9.0040,0.00,0.00,8.19
9.2400,0.00,0.00,8.19
9.4980,0.00,0.00,8.19
9.7250,0.00,0.00,8.19
9.9440,0.00,0.00,8.19
10.1580,0.00,0.00,8.19
10.3630,0.01,0.00,8.19
10.5670,0.01,0.00,8.19
10.7710,0.01,0.00,8.17
10.9960,0.03,0.00,8.17
11.2110,0.03,0.00,8.17
11.4340,0.03,0.00,8.12
11.6450,0.10,0.00,8.12
11.8810,0.10,0.00,8.12
12.1030,0.10,0.00,8.05
12.3230,0.17,0.00,8.05
12.5320,0.17,0.01,8.05
12.7430,0.17,0.01,0.01
12.9660,0.15,0.01,0.01
13.1840,0.15,0.33,0.01
13.4010,0.15,0.33,0.13
13.6110,0.39,0.33,0.13
13.8730,0.39,0.44,0.13
14.1030,0.39,0.44,0.01
14.3120,0.39,0.44,0.01
14.5430,0.39,0.40,0.01
14.7810,0.39,0.40,8.17
14.9920,0.47,0.40,8.17
15.2130,0.47,0.37,8.17
15.4030,0.47,0.37,0.05
15.5980,0.34,0.37,0.05
15.8120,0.34,0.41,0.05
16.0760,0.34,0.41,0.07
16.3000,0.34,0.41,0.07
16.5210,0.34,0.40,0.07
16.7560,0.34,0.40,0.06
16.9530,0.34,0.40,0.06
17.1580,0.34,0.38,0.06
17.3560,0.34,0.38,0.05
17.5640,0.34,0.38,0.05
17.7920,0.34,0.30,0.05
18.0040,0.34,0.30,8.06
18.2260,0.47,0.30,8.06
18.4600,0.47,0.45,8.06
18.6670,0.47,0.45,0.13
18.8990,0.37,0.45,0.13
19.1230,0.37,0.45,0.13
19.3170,0.37,0.45,0.06
19.4940,0.37,0.45,0.06
19.6960,0.37,0.42,0.06
19.9180,0.37,0.42,0.05
20.1230,0.37,0.42,0.05
20.3450,0.37,0.42,0.05
20.5450,0.37,0.42,0.03
20.7640,0.39,0.42,0.03
20.9820,0.39,0.42,0.03
21.2080,0.39,0.42,0.03
21.4400,0.37,0.42,0.03
21.6520,0.37,0.00,0.03
21.8680,0.37,0.00,8.02
22.0550,0.13,0.00,8.02
22.2420,0.13,0.02,8.02
22.4720,0.13,0.02,8.12
22.6820,0.08,0.02,8.12
22.9020,0.08,0.00,8.12
23.1120,0.08,0.00,8.14
23.3310,0.06,0.00,8.14
23.5510,0.06,0.02,8.14
23.7570,0.06,0.02,8.12
23.9710,0.09,0.02,8.12
24.1960,0.09,0.02,8.12
24.4210,0.09,0.02,8.12
24.6540,0.09,0.02,8.12
24.9010,0.09,0.02,8.12
25.1400,0.09,0.02,8.12
25.3600,0.09,0.02,8.12
25.5830,0.09,0.02,8.12
25.8070,0.09,0.02,8.12
25.9950,0.09,0.02,8.12
26.2390,0.09,0.02,8.12
26.4750,0.09,0.02,8.12
26.7040,0.08,0.02,8.12
26.9110,0.08,0.02,8.12
27.1220,0.08,0.02,8.13
27.3340,0.08,0.02,8.13
27.6150,0.08,0.02,8.13
27.8180,0.08,0.02,8.13
28.0200,0.08,0.02,8.13
28.2360,0.08,0.02,8.13
28.4690,0.08,0.02,8.13
28.6920,0.08,0.02,8.13
28.9690,0.08,0.02,8.13
29.2140,0.08,0.02,8.13
29.4550,0.08,0.02,8.13
29.6570,0.08,0.02,8.13
29.8750,0.08,0.02,8.13
30.0550,0.08,0.02,8.13
30.2590,0.08,0.02,8.13
30.4580,0.08,0.02,8.13
30.6780,0.08,0.02,8.13
30.9020,0.08,0.02,8.13
31.1180,0.08,0.02,8.13
31.3410,0.08,0.02,8.13
31.5380,0.08,0.02,8.13
31.7420,0.08,0.02,8.13
31.9670,0.07,0.02,8.13
32.1570,0.07,0.02,8.13
32.3750,0.07,0.02,8.14
32.6510,0.07,0.02,8.14
32.8670,0.07,0.02,8.14
33.0820,0.07,0.02,8.14
33.2800,0.07,0.02,8.14
33.5060,0.07,0.02,8.14
33.7140,0.07,0.02,8.15
33.9140,0.06,0.02,8.15
34.1220,0.06,0.02,8.15
34.3570,0.06,0.02,8.17
34.5860,0.04,0.02,8.17
34.8110,0.04,0.02,8.17
35.0410,0.04,0.02,8.18
35.2760,0.03,0.02,8.18
35.4760,0.03,0.02,8.18
35.7120,0.03,0.02,8.18
35.9140,0.02,0.02,8.18
36.1320,0.02,0.02,8.18
36.3510,0.02,0.02,8.19
36.5640,0.02,0.02,8.19
36.7100,0.02,0.01,8.19
36.8670,0.02,0.01,8.19
37.1010,0.02,0.01,8.19
37.2880,0.02,0.01,8.19
37.4630,0.02,0.01,8.19
37.6310,0.02,0.01,8.19
37.8350,0.02,0.00,8.19
38.0360,0.02,0.00,8.18
38.2590,0.02,0.00,8.18
38.4820,0.02,0.00,8.18
38.6690,0.02,0.00,8.18
38.8430,0.02,0.00,8.18
39.0350,0.02,0.00,8.18
39.2660,0.02,0.00,8.18
39.4770,0.02,0.00,8.18
39.7020,0.02,0.00,8.18
39.9110,0.02,0.00,8.18
40.1120,0.01,0.00,8.18
40.3230,0.01,0.00,8.18
40.5380,0.01,0.00,8.18
40.7480,0.01,0.00,8.18
40.9740,0.01,0.00,8.18
41.1910,0.01,0.00,8.18
41.4210,0.01,0.00,8.18
41.6860,0.01,0.00,8.18
41.8780,0.01,0.00,8.19
42.0950,0.01,0.00,8.19
42.2440,0.01,0.00,8.19
42.4170,0.01,0.00,8.19
42.6030,0.00,0.00,8.19
42.8390,0.00,0.00,8.19
43.0460,0.00,0.00,8.19
43.2680,0.01,0.00,8.19
43.4800,0.01,0.00,8.19
43.6980,0.01,0.00,8.19
43.9240,0.01,0.00,8.19
44.1590,0.01,0.00,8.19
44.3860,0.01,0.00,8.18
44.6030,0.01,0.00,8.18
44.8140,0.01,0.00,8.18
45.0230,0.01,0.00,8.18
45.2150,0.02,0.00,8.18
45.4020,0.02,0.00,8.18
45.6110,0.02,0.00,8.16
45.8270,0.04,0.00,8.16
46.0470,0.04,0.00,8.16
46.2800,0.04,0.00,8.12
46.4990,0.09,0.00,8.12
46.7830,0.09,0.00,8.12
47.0170,0.09,0.00,8.02
47.2380,0.21,0.00,8.02
47.4550,0.21,0.23,8.02
47.7210,0.21,0.23,0.05
47.9550,0.38,0.23,0.05
48.1940,0.38,0.51,0.05
48.4160,0.38,0.51,8.05
48.6410,0.35,0.51,8.05
48.8830,0.35,0.41,8.05
49.1020,0.35,0.41,0.03
49.3640,0.39,0.41,0.03
49.5970,0.39,0.33,0.03
49.8110,0.39,0.33,8.07
49.9830,0.46,0.33,8.07
50.1740,0.46,0.43,8.07
50.4150,0.46,0.43,0.08
50.6610,0.33,0.43,0.08
50.8590,0.33,0.40,0.08
51.0830,0.33,0.40,0.06
51.3280,0.35,0.40,0.06
51.5450,0.35,0.38,0.06
51.7840,0.35,0.38,0.05
52.0120,0.35,0.38,0.05
52.2360,0.35,0.29,0.05
52.4460,0.35,0.29,8.15
52.6600,0.52,0.29,8.15
52.8980,0.52,0.42,8.15
53.1210,0.52,0.42,0.12
53.3210,0.34,0.42,0.12
53.4970,0.34,0.45,0.12
53.7210,0.34,0.45,0.06
53.9540,0.39,0.45,0.06
54.1680,0.39,0.42,0.06
54.3950,0.39,0.42,0.05
54.5980,0.37,0.42,0.05
54.8360,0.37,0.41,0.05
55.0250,0.37,0.41,0.03
55.1790,0.39,0.41,0.03
55.3760,0.39,0.42,0.03
55.5670,0.39,0.42,0.03
55.7680,0.39,0.42,0.03
55.9470,0.39,0.41,0.03
56.1520,0.39,0.41,0.03
56.3400,0.38,0.41,0.03
56.5240,0.38,0.40,0.03
56.7220,0.38,0.40,0.03
56.9710,0.34,0.40,0.03
57.1910,0.34,0.37,0.03
57.4320,0.34,0.37,0.04
57.6530,0.31,0.37,0.04
57.8680,0.31,0.36,0.04
58.1020,0.31,0.36,0.05
58.3330,0.29,0.36,0.05
58.5740,0.29,0.34,0.05
58.7740,0.29,0.34,8.17
59.0160,0.43,0.34,8.17
59.2490,0.43,0.37,8.17
59.4450,0.43,0.37,0.07
59.6750,0.30,0.37,0.07
59.9060,0.30,0.39,0.07
60.1130,0.30,0.39,0.08
60.3450,0.33,0.39,0.08
60.5550,0.33,0.00,0.08
60.7740,0.33,0.00,7.97
60.9830,0.14,0.00,7.97
61.2070,0.14,0.02,7.97
61.4230,0.14,0.02,8.11
61.6250,0.08,0.02,8.11
61.8170,0.08,0.02,8.11
62.0570,0.08,0.02,8.14
62.3200,0.07,0.02,8.14
62.6030,0.07,0.02,8.14
62.8410,0.07,0.02,8.11
63.0590,0.10,0.02,8.11
63.2830,0.10,0.02,8.11
63.5180,0.10,0.02,8.11
63.7210,0.10,0.02,8.11
63.9420,0.10,0.02,8.11
64.1720,0.10,0.02,8.11
64.3960,0.10,0.02,8.11
64.6010,0.10,0.02,8.11
64.8340,0.10,0.02,8.11
65.0690,0.10,0.02,8.11
65.2910,0.10,0.02,8.11
65.5060,0.10,0.02,8.11
65.7130,0.10,0.02,8.11
65.9470,0.10,0.02,8.11
66.1870,0.10,0.02,8.11
66.4130,0.09,0.02,8.11
66.6410,0.09,0.02,8.11
66.8570,0.09,0.02,8.12
67.0780,0.09,0.02,8.12
67.3030,0.09,0.02,8.12
67.5230,0.09,0.02,8.12
67.7500,0.09,0.02,8.12
67.9760,0.09,0.00,8.12
68.1960,0.09,0.00,8.14
68.4120,0.04,0.00,8.14
68.6230,0.04,0.02,8.14
68.8150,0.04,0.02,8.18
69.0150,0.02,0.02,8.18
69.2410,0.02,0.02,8.18
69.4730,0.02,0.02,0.00
69.7030,0.02,0.02,0.00
69.9200,0.02,0.02,0.00
70.1340,0.02,0.02,8.19
70.3460,0.02,0.02,8.19
70.5620,0.02,0.02,8.19
70.8100,0.02,0.02,8.19
71.0480,0.02,0.02,8.19
71.2180,0.02,0.02,8.19
71.4040,0.02,0.02,0.00
71.5990,0.02,0.02,0.00
71.8000,0.02,0.02,0.00
72.0170,0.02,0.02,0.00
72.2440,0.02,0.02,0.00
72.4760,0.02,0.00,0.00
72.7160,0.02,0.00,8.17
72.9400,0.02,0.00,8.17
73.1600,0.02,0.00,8.17
73.3820,0.02,0.00,8.17
73.6020,0.02,0.00,8.17
73.8140,0.02,0.00,8.17
74.0340,0.02,0.00,8.17
